source_name,publisher,lga_code,lga_name,scientific_name,common_name,mature_size_class,mature_height_min_m,mature_height_max_m,mature_canopy_width_min_m,mature_canopy_width_max_m,minimum_planting_area_m2,sunlight_requirement,water_need_class,root_risk_class,site_requirements,guidance_status,effective_from,effective_to,source_url,licence,limitation
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Agonis flexuosa,Willow Myrtle,small,,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Allocasuarina verticillata,Drooping She-Oak,small,6,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Callistemon cultivars,Bottlebrush,small,4,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Callistemon sieberi,River Bottlebrush,small,4,7,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Eucalyptus forrestiana,Fuchsia Gum,small,,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Eucalyptus platypus,Moort,small,6,10,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Eucalyptus risdonii,Risdon Peppermint,small,6,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Eucalyptus torquata,Coral Gum,small,6,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Fraxinus ornus,Manna Ash,small,7,9,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Gleditsia triacanthos 'Sunburst',Sunburst Honey Locust,small,,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment. Do not plant this species within creek buffers or other environmentally sensitive areas because the council identifies weed potential or a tendency to sucker.",conditional,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Olea europaea,Olive,small,6,7,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment. Do not plant this species within creek buffers or other environmentally sensitive areas because the council identifies weed potential or a tendency to sucker.",conditional,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Acacia implexa,Lightwood,small,,8,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Allocasuarina littoralis,Black She-Oak,small,8,10,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Banksia integrifolia,Coastal Banksia,small,6,10,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Brachychiton acerifolius,Flame Tree,small,8,12,5,10,,,natural rainfall after establishment,,"Council source category: small (6-8 m high and 5-10 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Brachychiton discolor,Queensland Lacebark Tree,medium,,14,8,18,,,natural rainfall after establishment,,"Council source category: medium (8-15 m high and 8-18 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Brachychiton populneus,Kurrajong,medium,10,12,8,18,,,natural rainfall after establishment,,"Council source category: medium (8-15 m high and 8-18 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Callistemon salignus,Willow Bottlebrush,medium,,9,8,18,,,natural rainfall after establishment,,"Council source category: medium (8-15 m high and 8-18 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment.",recommended,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
Wyndham Landscape Guidelines 2018,Wyndham City Council,375,WYNDHAM CITY,Celtis australis,Nettle Tree,medium,10,12,8,18,,,natural rainfall after establishment,,"Council source category: medium (8-15 m high and 8-18 m wide). No tree where either available-space dimension is under 1.8 m. Use the council planting-space matrix, provide at least a 600 mm planting bay, check overhead/underground services, and select a tree able to survive on natural rainfall after establishment. Do not plant this species within creek buffers or other environmentally sensitive areas because the council identifies weed potential or a tendency to sucker.",conditional,2018-08-01,,https://www.wyndham.vic.gov.au/sites/default/files/2018-10/ADOPTED%20August%202018%20-%20Wyndham%20Landscape%20Guidelines%202018%20(A2187608).pdf,Copyright Wyndham City Council; no open licence stated - reuse permission/review required,"Council guidance for residential landscape plans; recommendation is not a permit or a guarantee of private-site suitability. Confirm the applicable planning-scheme schedule and current council requirements. The document is dated only August 2018, so 2018-08-01 is a month-level date convention. Width values are generic council size-band ranges, not species-specific measurements. Mature dimensions are estimates and actual growth varies. Sunlight and root-risk values are not supplied."
