source_name,publisher,lga_code,lga_name,scientific_name,common_name,mature_size_class,mature_height_min_m,mature_height_max_m,mature_canopy_width_min_m,mature_canopy_width_max_m,minimum_planting_area_m2,sunlight_requirement,water_need_class,root_risk_class,site_requirements,guidance_status,effective_from,effective_to,source_url,licence,limitation
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Ginkgo biloba,Maidenhair Tree,small,9,9,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Lagerstroemia indica x fauriei 'Natchez',Natchez Crepe Myrtle,small,6,6,6,6,25,,,,"Council Type A private-landscape tree; provide at least 25 m2 deep-soil area and a minimum soil-plan dimension of 3.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Pistacia chinensis,Chinese Pistachio,small,8,8,6,6,25,,,,"Council Type A private-landscape tree; provide at least 25 m2 deep-soil area and a minimum soil-plan dimension of 3.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Tristaniopsis laurina,Kanooka / Water Gum,small,12,12,5,5,16,,,,"Council Type A private-landscape tree; provide at least 16 m2 deep-soil area and a minimum soil-plan dimension of 3 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Ulmus parvifolia 'Burnley Select',Burnley Select Chinese Elm,small,9,9,7,7,36,,,,"Council Type A private-landscape tree; provide at least 36 m2 deep-soil area and a minimum soil-plan dimension of 4 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Acacia dealbata,Silver Wattle,medium,12,12,8,8,49,,,,"Council Type B private-landscape tree; provide at least 49 m2 deep-soil area and a minimum soil-plan dimension of 4.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Acer x freemanii 'Jeffersred',Autumn Blaze Maple,medium,13,13,10,10,81,,,,"Council Type B private-landscape tree; provide at least 81 m2 deep-soil area and a minimum soil-plan dimension of 5.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Acer rubrum 'October Glory',October Glory Red Maple,medium,12,12,9,9,64,,,,"Council Type B private-landscape tree; provide at least 64 m2 deep-soil area and a minimum soil-plan dimension of 5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Corymbia maculata,Spotted Gum,medium,30,30,10,10,81,,,,"Council Type B private-landscape tree; provide at least 81 m2 deep-soil area and a minimum soil-plan dimension of 5.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus blakelyi,Blakely's Red Gum,medium,15,15,10,10,81,,,,"Council Type B private-landscape tree; provide at least 81 m2 deep-soil area and a minimum soil-plan dimension of 5.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus melliodora,Yellow Box,medium,10,10,8,8,49,,,,"Council Type B private-landscape tree; provide at least 49 m2 deep-soil area and a minimum soil-plan dimension of 4.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Jacaranda mimosifolia,Jacaranda,medium,10,10,8,8,49,,,,"Council Type B private-landscape tree; provide at least 49 m2 deep-soil area and a minimum soil-plan dimension of 4.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Lophostemon confertus,Queensland Brush Box,medium,15,15,10,10,81,,,,"Council Type B private-landscape tree; provide at least 81 m2 deep-soil area and a minimum soil-plan dimension of 5.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Melia azedarach 'Elite',White Cedar,medium,10,10,8,8,49,,,,"Council Type B private-landscape tree; provide at least 49 m2 deep-soil area and a minimum soil-plan dimension of 4.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Quercus palustris,Pin Oak,medium,15,15,8,8,49,,,,"Council Type B private-landscape tree; provide at least 49 m2 deep-soil area and a minimum soil-plan dimension of 4.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Quercus robur,English Oak,medium,11,11,11,11,100,,,,"Council Type B private-landscape tree; provide at least 100 m2 deep-soil area and a minimum soil-plan dimension of 6 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Zelkova serrata 'Green Vase',Green Vase Japanese Elm,medium,14,14,10,10,81,,,,"Council Type B private-landscape tree; provide at least 81 m2 deep-soil area and a minimum soil-plan dimension of 5.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus camaldulensis,River Red Gum,large,20,20,15,15,144,,,,"Council Type C private-landscape tree; provide at least 144 m2 deep-soil area and a minimum soil-plan dimension of 7.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Eucalyptus microcarpa,Grey Box,large,25,25,15,15,144,,,,"Council Type C private-landscape tree; provide at least 144 m2 deep-soil area and a minimum soil-plan dimension of 7.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
Suggested Tree Species - Private Landscapes,City of Casey,312,CASEY CITY,Fagus sylvatica,Common Beech,large,15,15,12,12,121,,,,"Council Type C private-landscape tree; provide at least 121 m2 deep-soil area and a minimum soil-plan dimension of 6.5 m. Check buildings, services and vehicle areas.",recommended,2026-09-13,,https://www.casey.vic.gov.au/sites/default/files/user-files/Property%20%26%20planning/Building%20services/Landscape%20guidelines/Suggested%20Tree%20Species%20-%20Private%20Landscapes.pdf,Copyright City of Casey; no open licence stated - reuse permission/review required,"Official suggested species for private landscape documents. Suggested does not mean universally suitable or planning-approved. Confirm current permit and site requirements. Type A/B/C is mapped to GreenChanger small/medium/large. The publication states no effective date; 2026-09-13 is the retrieval/version date. Sunlight, water need and root risk are not supplied."
