catalogue_name,priced_identity,match_method,taxon_verification_url,reviewed_at,limitation
Fraxinus excelsior 'Aurea Pedula',Fraxinus excelsior,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Fraxinus excelsoir 'Aurea',Fraxinus excelsoir,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Garrya Geijera parviflora,Geijera parviflora,exact_external_taxon_identity,https://www.gbif.org/species/3033006,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ginkgo biloba 'Princeton Sentry',Ginkgo biloba,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Gleditsia triacanthos Honey Lo,Gleditsia triacanthos,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Gleditsia triacanthus,Gleditsia triacanthos,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Gleditsia tricanthos 'Lime Gold',Gleditsia tricanthos,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Gleditsia tricanthos var. inermis 'Continental',Gleditsia tricanthos,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Gleditsia tricanthos var. inermis 'Sunburst',Gleditsia tricanthos,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Hakea bucculenta 'Grafted',Hakea bucculenta,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ilex aquifolium 'Alba Marginata',Ilex aquifolium,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lagerstroemia indica x L. faur,Lagerstroemia indica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lagerstroemia indica x fauriei 'Biloxi',Lagerstroemia indica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lagerstroemia indica x fauriei 'Lipan',Lagerstroemia indica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lagerstroemia indica x fauriei 'Sioux',Lagerstroemia indica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lagerstroemia indica x fauriei 'Tonto',Lagerstroemia indica,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lagunaria patersonia,Lagunaria patersonii,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lawson Cypress,Chamaecyparis lawsoniana,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ligustrum vulgare 'Aureovariegatum',Ligustrum vulgare,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Liquidambar styraciflua 'Ward',Liquidambar styraciflua,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Liquidamber or Sweet Gum,Liquidambar styraciflua,unique_exact_catalogue_label,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lophostemon confertus 'Variegatum',Lophostemon confertus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lophostemon confertus 'Variegatus',Lophostemon confertus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Lophostemon confertus 'variegata',Lophostemon confertus,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Magnolia doltsopa x laevifolia Ÿ??InspirationŸ??,Magnolia doltsopa,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Malus X domestica,Malus domestica,exact_external_taxon_identity,https://www.gbif.org/species/3001244,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Malus X domestica 'Gala',Malus domestica,exact_external_taxon_identity,https://www.gbif.org/species/3001244,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Malus ionensis 'plena',Malus ioensis 'Plena',reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Melia azedarach var. australasica,Melia azedarach,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Mexican or Washington Palm,Washingtonia robusta,unique_exact_catalogue_label,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Nerium oleander 'Variegata',Nerium oleander,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Olea europaea subsp europaea,Olea europaea,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Olea europaea subsp. africana,Olea europaea,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Olea europaea subsp. cuspidata,Olea europaea,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Olea europaea subsp. europaea,Olea europaea,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Olea europea 'Swan Hill',Olea europea,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Olea europea subsp. europea,Olea europea,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Orange Wattle,Acacia saligna,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Photinia Xfraseri 'Robusta',Photinia x fraseri 'Robusta',reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Picea pungens 'Glauca',Picea pungens,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Picea pungens f. glauca,Picea pungens,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pittosporum eugenioides 'Varie,Pittosporum eugenioides,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pittosporum eugenoides 'Variegatum',Pittosporum eugenioides 'Variegatum',reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pittosporum tenuifolium 'James Stirling',Pittosporum tenuifolium,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pittosporum tenuifolium 'Variegatum',Pittosporum tenuifolium,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pittosporum tenuifolium variegatum,Pittosporum tenuifolium,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Platanus Xacerifolia,Platanus x acerifolia,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Platanus orientalis var. insularis,Platanus orientalis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Platanus orientalis var. insularis 'Autumn Glory',Platanus orientalis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Platanus orientalis var. insularis 'Digitata',Platanus orientalis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Platanus x acerifolia 'Liberty',Platanus x acerifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Platanus x acerifolia Ÿ??BloodgoodŸ??,Platanus x acerifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Populus Xcanadensis,Populus x canadensis,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Populus deltoides subsp. monilifera,Populus deltoides,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Populus x canadensis 'Aurea',Populus x canadensis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Populus x canadensis 'Serotina Aurea',Populus x canadensis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Populus x canadensis aurea,Populus x canadensis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Populus x candadenis,Populus x canadensis,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Prunus X domestica,Prunus domestica,exact_external_taxon_identity,https://www.gbif.org/species/7931731,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Prunus blireiana,Prunus blireana,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Prunus cerasifera Fastigiata,Prunus cerasifera,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Prunus serrulata 'Kansan',Prunus serrulata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Prunus serrulata 'Sato-zakura Group',Prunus serrulata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Prunus serrulata 'Tai Haku',Prunus serrulata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pyrus betulaefolia 'Southward Dancer',Pyrus betulaefolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pyrus betulaefolia 'southwood,Pyrus betulaefolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pyrus calleryana 'Glen's Form',Pyrus calleryana,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pyrus calleryana Chaunticleer,Pyrus calleryana,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pyrus calleryanna Chaunticleer,Pyrus calleryana 'chanticleer',reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Pyrus ussuriensis var. ovoidea,Pyrus ussuriensis,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Quercus canariensis x robur,Quercus canariensis,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Quercus cerris f. laciniata,Quercus cerris,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Quercus robur 'Concordia',Quercus robur,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
River Yate,Eucalyptus macrandra,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Salix babylonica var. pekinensis,Salix babylonica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Salix babylonica var. pekinensis 'To,Salix babylonica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Salix babylonica var. perkinensis 'T,Salix babylonica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Scrub Cherry,Syzygium australe,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Small-leaved Lime,Tilia cordata,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Small-leaved Linden,Tilia cordata,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Syzygium smithii var. minor,Syzygium smithii,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Tea Tree,Melaleuca alternifolia,unique_exact_catalogue_label,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Tilia cordata 'Baileyi',Tilia cordata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus 'Sapporo Autumn Gold',Ulmus Sapporo Autumn Gold,reviewed_spelling_variant,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus glabra 'Horizontalis',Ulmus glabra,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus glabra ‘Horizontalis’,Ulmus glabra,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus hollandica var.vegeta,Ulmus hollandica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus minor 'Atinia',Ulmus minor,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus parvifolia 'Emer II'-Allee,Ulmus parvifolia,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Ulmus x hollandica 'Vegeta',Ulmus x hollandica,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
Zelkova serrata Ÿ??Green VaseŸ??,Zelkova serrata,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
corymbia calophylla 'rosea',Corymbia calophylla,catalogue_infraspecific_to_species,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
oleander,Nerium oleander,exact_external_taxon_identity,,2026-09-18,The supplier quote names the resolved species identity; it is not represented as a distinct named-cultivar quote.
